,Name,Address,Lat,Lon,id
45,Eno Vino Downtown,"1 N Webster St, Madison, WI 53703",43.0765875,-89.3823592,ChIJIzc8hEBTBogR9x3W-u1TcPk
46,LJ's Sports Tavern & Grill,"8 N Paterson St, Madison, WI 53703",43.0823387,-89.3737684,ChIJtdZTwW5TBogRW7tsMUEDdco
47,Tempest Oyster Bar,"120 E Wilson St Suite 3, Madison, WI 53703",43.0739077,-89.37964629999999,ChIJJUNd1D9TBogR7S7B_A3eMcE
48,Settle Down Tavern,"117 S Pinckney St, Madison, WI 53703",43.07421799999999,-89.381152,ChIJEyqksthTBogRkik5oMCE1Yo
49,Augie's Tavern,"1001 Wisconsin Pl, Madison, WI 53703",43.0791896,-89.38968589999999,ChIJ27QEkEhTBogRwIFab0yR4LM
50,The Icon Restaurant,"206 State St, Madison, WI 53703",43.0749515,-89.38835399999999,ChIJYd_bPDhTBogRhg8ae4FzUEw
51,The Wisco,"852 Williamson St, Madison, WI 53703",43.0795359,-89.3701083,ChIJ4SiddXJTBogRLYW-_HeD13o
52,State Street Brats,"603 State St UNIT 1015, Madison, WI 53703",43.0747739,-89.39594439999999,ChIJrcpKoDVTBogRa_lrX6JIbaw
53,Maduro,"117 E Main St, Madison, WI 53703",43.0749936,-89.38128909999999,ChIJTbtHlj9TBogRykLQlTNLRBY
54,Nitty Gritty-Madison,"223 N Frances St, Madison, WI 53703",43.071836,-89.3956336,ChIJS-sgezRTBogRMMQhlZ9JNes
55,Tiny's Tap House,"308 S Paterson St, Madison, WI 53703",43.079639,-89.37024,ChIJsU2pVn9TBogRAo-wNTy8Pog
56,The Robin Room,"821 E Johnson St, Madison, WI 53703",43.0836191,-89.37713610000002,ChIJgbU3_2hTBogR-AmAi2EJKOI
57,Madison's,"119 King St, Madison, WI 53703",43.0744857,-89.3806695,ChIJPyrWxj9TBogRF2JT9oRyZ3Y
58,Brew Pub Pool,"179 King St, Madison, WI 53703",43.0744986,-89.38003049999999,ChIJOdlj2z9TBogRlBHGsiRveac
59,Tipsy Cow,"102 King St, Madison, WI 53703",43.0747636,-89.38156,ChIJBU15oT9TBogRab0MYkIB2I4
